Stan;Stolica;data;day1;day2;day3;day4;day5;day6;day7;;;
Washington;Olympia; 3/10/20 ;12;12;11;3;6;8;14;;;
New York;Albany; 3/10/20 ;17;8;11;13;7;8;8;;;
California;San Jose; 3/10/20 ;19;22;23;18;14;11;13;;;
Massachusetts;Boston; 3/10/20 ;19;11;6;16;12;5;7;;;
Georgia;Atlanta; 3/10/20 ;18;21;24;22;27;21;14;;;
Colorado;Denver; 3/10/20 ;16;20;8;4;10;15;16;;;
Florida;Tallahassee; 3/10/20 ;24;25;28;27;29;29;29;;;
New Jersey;Trenton; 3/10/20 ;18;13;11;22;13;12;7;;;
Oregon;Salem; 3/10/20 ;17;14;12;4;7;10;16;;;
Texas;Austin; 3/10/20 ;27;29;30;28;29;17;23;;;
Illinois;Springfield; 3/10/20 ;5;9;13;10;3;6;5;;;
Pennsylvania;Harrisburg; 3/10/20 ;20;11;16;22;13;13;12;;;
Iowa;Des Moines; 3/10/20 ;11;14;17;9;2;6;7;;;
Maryland;Annapolis; 3/10/20 ;21;11;12;23;12;11;11;;;
North Carolina;Raleigh; 3/10/20 ;19;23;22;23;20;13;14;;;
South Carolina;Columbia; 3/10/20 ;23;25;27;27;22;22;14;;;
Tennessee;Nashville; 3/10/20 ;19;15;23;14;11;8;12;;;
Virginia;Richmond; 3/10/20 ;21;20;17;27;17;11;14;;;
Arizona;Phoenix; 3/10/20 ;23;19;22;18;22;24;26;;;
Indiana;Indianapolis; 3/10/20 ;7;8;14;9;1;7;8;;;
Kentucky;Frankfort; 3/10/20 ;15;14;20;13;7;6;8;;;
District of Columbia;Washington DC; 3/10/20 ;22;13;17;24;14;10;13;;;
Nevada;Carson City; 3/10/20 ;15;18;17;18;8;9;8;;;
New Hampshire;Concord; 3/10/20 ;16;7;7;10;10;5;3;;;
Minnesota;Saint Paul; 3/10/20 ;5;6;6;3;1;4;3;;;
Nebraska;Lincoln; 3/10/20 ;7;18;14;7;2;1;6;;;
Ohio;Columbus; 3/10/20 ;12;11;18;11;2;8;8;;;
Rhode Island;Providence; 3/10/20 ;19;14;9;17;11;11;5;;;
 Wisconsin;Madison; 3/10/20 ;8;6;10;8;2;4;5;;;
Connecticut;Hartford; 3/10/20 ;19;11;10;19;11;11;7;;;
Hawaii;Honolulu; 3/10/20 ;27;27;24;26;27;27;25;;;
Oklahoma;Oklahoma City; 3/10/20 ;23;24;27;7;10;7;13;;;
Utah;Salt Lake City; 3/10/20 ;14;16;14;9;15;18;16;;;
Kansas;Topeka; 3/10/20 ;8;20;19;7;4;3;7;;;
Louisiana;Baton Rouge; 3/10/20 ;24;26;26;28;27;29;27;;;
Missouri;Jefferson City; 3/10/20 ;7;19;17;9;5;5;7;;;
Vermont;Montpelier; 3/10/20 ;12;-1;5;9;6;-2;3;;;
Alaska;Juneau; 3/13/20 ;-1;6;7;3;5;4;11;;;
Arkansas;Little Rock; 3/11/20 ;21;24;14;10;10;8;14;;;
Delaware;Dover; 3/11/20 ;12;11;22;14;11;10;16;;;
Idaho;Boise; 3/13/20 ;13;11;13;14;15;9;13;;;
Maine;Augusta; 3/13/20 ;9;7;3;1;3;8;4;;;
Michigan;Lansing; 3/11/20 ;5;11;5;2;6;8;9;;;
Mississippi;Jackson; 3/12/20 ;28;24;26;24;26;27;27;;;
Montana;Helena; 3/11/20 ;13;6;-2;-16;-11;-1;4;;;
New Mexico;Santa Fe; 3/11/20 ;18;16;9;12;16;17;16;;;
North Dakota;Bismarck; 3/12/20 ;3;-2;-2;-1;-1;6;2;;;
South Dakota;Pierre; 3/11/20 ;19;7;4;-1;2;1;5;;;
West Virginia;Charleston; 3/17/20 ;9;20;21;23;4;13;13;;;
Wyoming;Cheyenne; 3/12/20;-1;-2;-2;10;9;9;14;;;
